Date,TempC
6/28/2025 2:00,16.713
6/28/2025 2:15,16.713
6/28/2025 2:30,16.808
6/28/2025 2:45,16.808
6/28/2025 3:00,16.903
6/28/2025 3:15,16.903
6/28/2025 3:30,16.999
6/28/2025 3:45,16.999
6/28/2025 4:00,17.094
6/28/2025 4:15,17.189
6/28/2025 4:30,17.094
6/28/2025 4:45,17.189
6/28/2025 5:00,17.284
6/28/2025 5:15,17.189
6/28/2025 5:30,16.903
6/28/2025 5:45,16.903
6/28/2025 6:00,16.903
6/28/2025 6:15,16.999
6/28/2025 6:30,17.475
6/28/2025 6:45,18.236
6/28/2025 7:00,19.187
6/28/2025 7:15,18.14
6/28/2025 7:30,17.76
6/28/2025 7:45,17.95
6/28/2025 8:00,17.95
6/28/2025 8:15,17.95
6/28/2025 8:30,17.95
6/28/2025 8:45,17.95
6/28/2025 9:00,19.092
6/28/2025 9:15,19.853
6/28/2025 9:30,20.043
6/28/2025 9:45,21.664
6/28/2025 10:00,20.71
6/28/2025 10:15,21.187
6/28/2025 10:30,20.519
6/28/2025 10:45,18.996
6/28/2025 11:00,17.094
6/28/2025 11:15,16.903
6/28/2025 11:30,16.999
6/28/2025 11:45,16.999
6/28/2025 12:00,16.903
6/28/2025 12:15,16.903
6/28/2025 12:30,16.808
6/28/2025 12:45,16.808
6/28/2025 13:00,16.808
6/28/2025 13:15,16.999
6/28/2025 13:30,17.189
6/28/2025 13:45,17.284
6/28/2025 14:00,17.57
6/28/2025 14:15,17.855
6/28/2025 14:30,18.045
6/28/2025 14:45,18.711
6/28/2025 15:00,19.567
6/28/2025 15:15,20.615
6/28/2025 15:30,23.484
6/28/2025 15:45,26.879
6/28/2025 16:00,25.61
6/28/2025 16:15,23.869
6/28/2025 16:30,24.641
6/28/2025 16:45,27.173
6/28/2025 17:00,26.977
6/28/2025 17:15,22.621
6/28/2025 17:30,23.1
6/28/2025 17:45,22.908
6/28/2025 18:00,21.282
6/28/2025 18:15,20.329
6/28/2025 18:30,19.948
6/28/2025 18:45,19.472
6/28/2025 19:00,19.187
6/28/2025 19:15,18.616
6/28/2025 19:30,18.236
6/28/2025 19:45,18.045
6/28/2025 20:00,17.855
6/28/2025 20:15,17.855
6/28/2025 20:30,17.57
6/28/2025 20:45,17.379
6/28/2025 21:00,17.284
6/28/2025 21:15,17.284
6/28/2025 21:30,17.094
6/28/2025 21:45,16.903
6/28/2025 22:00,16.903
6/28/2025 22:15,16.808
6/28/2025 22:30,16.618
6/28/2025 22:45,16.808
6/28/2025 23:00,16.903
6/28/2025 23:15,16.999
6/28/2025 23:30,16.903
6/28/2025 23:45,16.903
6/29/2025 0:00,16.808
6/29/2025 0:15,16.713
6/29/2025 0:30,16.713
6/29/2025 0:45,16.713
6/29/2025 1:00,16.618
6/29/2025 1:15,16.618
6/29/2025 1:30,16.618
6/29/2025 1:45,16.618
6/29/2025 2:00,16.713
6/29/2025 2:15,16.713
6/29/2025 2:30,16.713
6/29/2025 2:45,16.808
6/29/2025 3:00,16.713
6/29/2025 3:15,16.713
6/29/2025 3:30,16.713
6/29/2025 3:45,16.618
6/29/2025 4:00,16.332
6/29/2025 4:15,16.046
6/29/2025 4:30,15.951
6/29/2025 4:45,15.855
6/29/2025 5:00,15.951
6/29/2025 5:15,15.951
6/29/2025 5:30,15.951
6/29/2025 5:45,15.951
6/29/2025 6:00,16.046
6/29/2025 6:15,16.046
6/29/2025 6:30,16.237
6/29/2025 6:45,16.523
6/29/2025 7:00,16.903
6/29/2025 7:15,16.808
6/29/2025 7:30,17.094
6/29/2025 7:45,17.665
6/29/2025 8:00,18.711
6/29/2025 8:15,18.996
6/29/2025 8:30,19.758
6/29/2025 8:45,20.043
6/29/2025 9:00,20.329
6/29/2025 9:15,21.187
6/29/2025 9:30,22.429
6/29/2025 9:45,22.238
6/29/2025 10:00,21.282
6/29/2025 10:15,22.908
6/29/2025 10:30,23.484
6/29/2025 10:45,23.966
6/29/2025 11:00,23.581
6/29/2025 11:15,23.004
6/29/2025 11:30,23.677
6/29/2025 11:45,20.519
6/29/2025 12:00,17.855
6/29/2025 12:15,17.76
6/29/2025 12:30,17.665
6/29/2025 12:45,17.855
