Model:	LI-7810
SN:	TG10-01881
Software Version:	2.3.8
Timestamp:	2025-06-12 09:07:51
Timezone:	Etc/Greenwich
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1749719358	984114885	361	256	""	2025-06-12	09:09:18	nan	nan	nan	102.492	24.0565	102.548	33.2353	0	0	24.2214	-16000	0	16.0215	143
DATA	1749719359	984114885	365	256	""	2025-06-12	09:09:19	nan	nan	nan	102.49	24.0748	102.547	33.2353	0	0	24.244	-16000	0	16.0207	 55
DATA	1749719360	984114885	369	256	""	2025-06-12	09:09:20	nan	nan	nan	102.49	24.0929	102.546	33.2353	0	0	24.2662	-16000	0	16.0191	 99
DATA	1749719361	984114885	373	256	""	2025-06-12	09:09:21	nan	nan	nan	102.49	24.1111	102.547	33.2362	0	0	24.2888	-16000	0	16.0195	 95
DATA	1749719362	984114885	377	256	""	2025-06-12	09:09:22	nan	nan	nan	102.491	24.1277	102.547	33.2362	0	0	24.3093	-16000	0	16.0195	152
DATA	1749719363	984114885	381	256	""	2025-06-12	09:09:23	nan	nan	nan	102.49	24.1458	102.546	33.2362	0	0	24.3325	-16000	0	16.0191	 94
DATA	1749719364	984114885	385	256	""	2025-06-12	09:09:24	nan	nan	nan	102.49	24.1645	102.546	33.2362	0	0	24.3554	-16000	0	16.018	 52
DATA	1749719365	984114885	389	256	""	2025-06-12	09:09:25	nan	nan	nan	102.49	24.1823	102.545	33.2366	0	0	24.3778	-16000	0	16.0176	120
DATA	1749719366	983836889	393	256	""	2025-06-12	09:09:26	nan	nan	nan	102.49	24.2002	102.546	33.237	0	0	24.4001	-16000	0	16.0164	 46
DATA	1749719367	983836889	397	256	""	2025-06-12	09:09:27	nan	nan	nan	102.489	24.218	102.545	33.237	0	0	24.4223	-16000	0	16.0164	 72
DATA	1749719368	983836889	401	256	""	2025-06-12	09:09:28	nan	nan	nan	102.49	24.2358	102.546	33.237	0	0	24.4447	-16000	0	16.0156	 69
